particulas/s,N,opt,compiler,runs,threads num,GFLOPS,time,l1 misses,dtlb misses
84.195,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,25,20,428544794,0.383,16758036,13953
77.158,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,25,20,440701088,0.417,17700613,19252
202.201,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,20,20,3130750994,0.537,30871854,17929
216.141,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,20,20,3128168807,0.502,30869355,17011
207.594,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,20,20,3134776360,0.523,30215797,19174
273.301,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,20,20,3178473055,0.398,30226546,14377
198.880,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,20,20,3138594584,0.546,31331674,16031
214.738,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,20,20,3106796585,0.506,30201725,18183
212.376,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,20,20,3174645921,0.511,33693513,12850
208.950,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,20,20,3179258317,0.520,32663213,19681
206.175,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,20,20,3096858832,0.527,32194207,22547
270.116,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,20,20,3136895341,0.402,30047828,11175
216.431,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,20,20,3130159498,0.502,30826845,13901
206.844,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,20,20,3171995708,0.525,30824841,14994
209.841,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,20,20,3124688751,0.517,49472810,10854
212.354,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,20,20,3175100736,0.511,31518944,12974
296.958,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,20,20,3118548931,0.366,28494051,12692
239.260,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,20,20,3158905085,0.454,37539713,10424
188.691,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,20,20,3163943142,0.575,32486793,18497
210.188,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,20,20,3177319057,0.516,29846343,18268
201.672,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,20,20,3130218723,0.538,31351000,27090
205.090,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,20,20,3153434436,0.529,31971276,20528
355.593,256,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,15,20,12692636162,0.723,61258696,36454
377.740,256,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,15,20,12698966628,0.681,61134457,34106
438.675,256,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,15,20,12542799539,0.586,60768981,35743
403.436,256,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,15,20,12792525334,0.637,70962021,31708
407.989,256,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,15,20,12642676878,0.630,61327289,32113
430.547,256,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,15,20,12643777446,0.597,93188501,28742
388.280,256,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,15,20,12565983039,0.662,63203455,38771
380.493,256,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,15,20,12706334146,0.676,61476196,33881
348.587,256,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,15,20,12640022887,0.737,76588354,34433
439.384,256,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,15,20,12433404005,0.585,60345268,28092
417.493,256,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,15,20,12617162572,0.616,59660313,28705
393.977,256,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,15,20,12696914174,0.653,60919827,30287
341.935,256,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,15,20,12758093098,0.752,64206864,41662
